group_id,chunk_id,topic,category,risk_level,title,text,source_id,allowed_use,blocked_use,language
G16,C033,Final‑Year Project Stress,Motivation,L0_NORMAL,Self‑Reflection,Reflecting on progress motivates students to continue working steadily. Journaling achievements improves focus and self‑belief.,S003,Academic stress guidance,Medical or crisis advice,English
G16,C034,Final‑Year Project Stress,Stress Management,L1_STRESS,Breathing Exercises,Short breathing exercises during study sessions reduce anxiety and improve concentration.,S004,Academic stress guidance,Medical or crisis advice,English
G16,C035,Final‑Year Project Stress,Academic Pressure,L2_DISTRESS,Overwork Risks,Excessive workload without breaks increases stress and reduces productivity. Students should seek supervisor adjustments to avoid burnout.,S001,Academic stress guidance,Medical or crisis advice,English
G16,C036,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Checklists,Using checklists for daily tasks helps students stay organized and reduces confusion during project work.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C037,Final‑Year Project Stress,Emotional Support,L1_STRESS,Supervisor Feedback,Constructive feedback from supervisors reduces uncertainty and helps students improve drafts effectively.,S005,Academic stress guidance,Medical or crisis advice,English
G16,C038,Final‑Year Project Stress,Motivation,L0_NORMAL,Celebrating Small Wins,Celebrating small achievements boosts morale and keeps students motivated throughout long projects.,S003,Academic stress guidance,Medical or crisis advice,English
G16,C039,Final‑Year Project Stress,Stress Management,L1_STRESS,Journaling,Writing down thoughts and feelings helps students process stress and maintain emotional balance.,S004,Academic stress guidance,Medical or crisis advice,English
G16,C040,Final‑Year Project Stress,Academic Pressure,L2_DISTRESS,Fear of Failure,Many students fear failing their final project. Reframing failure as learning reduces distress and encourages persistence.,S001,Academic stress guidance,Medical or crisis advice,English
G16,C041,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Structured Planning,Students who create structured project plans with clear timelines reduce confusion and manage stress effectively.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C042,Final‑Year Project Stress,Emotional Support,L1_STRESS,Peer Mentoring,Peer mentoring programs help students share experiences and reduce stress through collaborative learning.,S005,Academic stress guidance,Medical or crisis advice,English
G16,C043,Final‑Year Project Stress,Motivation,L0_NORMAL,Visual Progress Tracking,Using visual tools like charts or Kanban boards helps students see progress and stay motivated.,S003,Academic stress guidance,Medical or crisis advice,English
G16,C044,Final‑Year Project Stress,Stress Management,L1_STRESS,Guided Relaxation,Guided relaxation sessions offered by universities help students calm nerves during project deadlines.,S004,Academic stress guidance,Medical or crisis advice,English
G16,C045,Final‑Year Project Stress,Academic Pressure,L2_DISTRESS,Supervisor Conflict,Conflicts with supervisors can increase stress. Students are advised to seek mediation or constructive dialogue.,S001,Academic stress guidance,Medical or crisis advice,English
G16,C046,Final‑Year Project Stress,Coping Strategy,L0_NORMAL,Daily Scheduling,Creating daily schedules ensures steady progress and prevents last‑minute stress.,S002,Academic stress guidance,Medical or crisis advice,English
G16,C047,Final‑Year Project Stress,Emotional Support,L1_STRESS,Family Check‑Ins,Regular family check‑ins provide emotional reassurance and reduce feelings of isolation during projects.,S005,Academic stress guidance,Medical or crisis advice,English
G16,C048,Final‑Year Project Stress,Motivation,L0_NORMAL,Positive Reinforcement,Positive reinforcement from peers and mentors boosts confidence and encourages persistence.,S003,Academic stress guidance,Medical or crisis advice,English
G16,C049,Final‑Year Project Stress,Stress Management,L1_STRESS,Campus Wellbeing Services,Universities offering wellbeing services provide safe spaces and counseling to help students manage project stress.,S004,Academic stress guidance,Medical or crisis advice,English
G16,C050,Final‑Year Project Stress,Academic Pressure,L2_DISTRESS,Burnout Prevention,Students facing burnout are encouraged to redistribute workload and take restorative breaks to recover energy.,S006,Academic stress guidance,Medical or crisis advice,English
